Position,MVP_Nominated,FG_Pct,3P_Pct,2P_Pct,PTS,3P,2P,AST,STL,BLK,REB,Player,Season,Vote_Share_Pct,MP_per_Game
SF,1,47.6,36.5,50.6,30.1,1.6,8.1,2.8,1.4,1.0,7.6,Kevin Durant,10-10,49.5,39.5
SF,1,50.3,33.3,56.0,29.7,1.7,8.4,8.6,1.6,1.0,7.3,LeBron James,10-10,98.0,39.0
SF,1,45.8,31.6,47.8,28.2,0.9,9.1,3.2,1.3,0.4,6.6,Carmelo Anthony,10-10,5.3,38.2
SG,1,45.6,32.9,48.7,27.0,1.4,8.5,5.0,1.5,0.3,5.4,Kobe Bryant,10-10,48.7,38.8
SG,1,47.6,30.0,50.9,26.6,0.9,8.4,6.5,1.8,1.1,4.8,Dwyane Wade,10-10,9.7,36.3
SG,0,44.9,33.8,47.0,25.5,1.2,8.7,5.3,2.2,0.4,4.0,Monta Ellis,10-10,0.0,41.4
PF,1,48.1,42.1,48.7,25.0,0.6,8.3,2.7,0.9,1.0,7.7,Dirk Nowitzki,10-10,4.5,37.5
SF,0,42.8,36.1,47.1,24.1,2.5,5.3,2.8,1.5,0.8,5.5,Danny Granger,10-10,0.0,36.7
C,1,51.8,36.4,52.1,24.0,0.1,8.5,2.4,0.6,1.0,10.8,Chris Bosh,10-10,0.1,36.1
PF,1,55.7,16.7,55.9,23.1,0.0,8.6,1.0,0.6,1.0,8.9,Amar'e Stoudemire,10-10,0.4,34.6
PG,0,41.1,34.8,43.7,22.6,2.0,5.9,7.2,1.3,0.3,4.2,Gilbert Arenas,10-10,0.0,36.5
SG,0,47.3,33.0,51.2,21.5,1.1,6.4,4.7,0.9,0.2,4.4,Brandon Roy,10-10,0.0,37.2
SG,1,45.8,36.9,48.8,21.3,1.7,6.7,4.9,1.1,0.1,4.6,Joe Johnson,10-10,0.1,38.0
PF,0,48.8,28.8,49.6,20.8,0.2,7.9,1.8,1.0,0.4,11.7,Zach Randolph,10-10,0.0,37.7
PG,0,48.9,26.7,50.0,20.8,0.2,8.4,6.0,0.7,0.3,3.8,Derrick Rose,10-10,0.0,36.8
SG,0,41.7,33.3,45.3,20.6,1.5,4.8,2.4,1.0,0.1,3.6,Kevin Martin,10-10,0.0,35.5
SG,0,39.8,35.5,41.9,19.8,1.8,4.4,2.6,1.0,0.2,4.3,Kevin Martin,10-10,0.0,35.2
SG,0,43.5,31.0,48.4,21.3,1.3,5.1,2.3,1.0,0.1,2.9,Kevin Martin,10-10,0.0,35.8
SG,1,42.3,32.8,46.0,20.6,1.6,5.8,3.7,1.6,0.5,5.0,Stephen Jackson,10-10,0.1,38.6
PF,1,42.1,27.5,48.4,16.6,1.2,5.0,4.7,1.6,0.7,3.9,Stephen Jackson,10-10,0.1,33.3
SG,1,42.3,33.4,45.7,21.1,1.6,5.9,3.6,1.6,0.5,5.1,Stephen Jackson,10-10,0.1,39.3
C,0,54.5,0.0,54.9,20.2,0.0,8.5,3.6,1.0,0.5,11.7,David Lee,10-10,0.0,37.3
SG,0,45.8,25.5,48.5,20.1,0.5,6.9,5.8,1.5,0.4,5.3,Tyreke Evans,10-10,0.0,37.2
PF,0,51.6,26.0,53.1,19.8,0.2,6.3,2.5,0.7,0.1,5.3,Corey Maggette,10-10,0.0,29.7
PG,0,43.2,39.8,45.4,19.6,2.5,4.5,5.3,0.8,0.2,2.6,Aaron Brooks,10-10,0.0,35.6
SF,0,46.6,32.7,49.2,19.6,0.8,6.7,1.9,1.5,0.8,5.9,Rudy Gay,10-10,0.0,39.7
PG,1,41.8,38.6,44.1,19.5,2.2,3.4,5.6,1.1,0.1,3.1,Chauncey Billups,10-10,0.1,34.1
PF,0,56.2,,56.2,19.5,0.0,7.9,3.2,1.1,0.5,11.2,Carlos Boozer,10-10,0.0,34.3
PF,0,50.5,25.9,51.0,19.0,0.1,7.6,3.0,0.9,0.7,7.5,David West,10-10,0.0,36.4
C,0,49.9,0.0,50.0,18.8,0.0,6.9,2.3,0.7,1.7,8.6,Brook Lopez,10-10,0.0,36.9
PF,0,46.1,34.4,49.8,18.7,1.3,6.0,1.3,1.1,0.3,8.4,Antawn Jamison,10-10,0.0,36.5
PF,0,45.0,34.5,48.3,20.5,1.4,6.3,1.3,1.0,0.2,8.8,Antawn Jamison,10-10,0.0,38.9
PF,0,48.5,34.2,52.9,15.8,1.1,5.4,1.3,1.1,0.5,7.7,Antawn Jamison,10-10,0.0,32.4
PG,0,49.3,40.9,51.4,18.7,1.2,5.8,10.7,2.1,0.2,4.2,Chris Paul,10-10,0.0,38.0
PG,1,46.9,37.1,50.1,18.7,1.3,5.2,10.5,1.3,0.2,4.0,Deron Williams,10-10,0.6,36.9
C,0,49.0,0.0,49.2,18.5,0.0,7.8,1.6,0.5,1.2,9.3,Chris Kaman,10-10,0.0,34.3
C,0,53.6,0.0,53.9,18.3,0.0,7.0,3.4,0.6,1.7,11.3,Pau Gasol,10-10,0.0,37.0
C,1,61.2,0.0,61.7,18.3,0.0,6.2,1.8,0.9,2.8,13.2,Dwight Howard,10-10,38.9,34.7
SF,0,47.2,41.4,49.7,18.3,1.5,4.2,3.1,1.2,0.4,4.4,Paul Pierce,10-10,0.0,34.0
SF,0,48.4,37.1,50.3,18.2,0.7,5.3,2.1,1.5,1.1,10.0,Gerald Wallace,10-10,0.0,41.0
SG,0,40.9,29.7,43.5,18.1,0.9,5.5,4.4,0.7,0.1,2.7,Richard Hamilton,10-10,0.0,33.7
SG,0,44.9,38.2,49.1,18.0,2.1,4.2,3.0,0.8,0.2,2.5,Jamal Crawford,10-10,0.0,31.1
PF,0,49.5,31.3,49.8,17.9,0.1,7.4,2.1,0.9,0.6,8.0,LaMarcus Aldridge,10-10,0.0,37.5
C,0,51.8,18.2,52.2,17.9,0.0,7.2,3.2,0.6,1.5,10.1,Tim Duncan,10-10,0.0,31.3
PF,0,43.5,34.2,49.6,17.7,1.9,4.3,1.5,0.9,0.4,5.6,Al Harrington,10-10,0.0,30.5
SF,0,46.6,38.6,47.4,17.6,0.5,6.3,2.0,0.9,0.9,7.3,Luol Deng,10-10,0.0,37.9
PG,0,46.2,43.7,47.4,17.5,2.1,4.5,5.9,1.9,0.2,4.5,Stephen Curry,10-10,0.0,36.2
SG,0,45.8,38.3,49.0,17.5,1.7,5.0,3.0,1.2,0.2,3.8,O.J. Mayo,10-10,0.0,38.0
PF,0,47.0,37.2,50.9,17.2,1.5,5.2,1.2,0.3,1.4,6.2,Andrea Bargnani,10-10,0.0,35.0
SF,0,44.3,31.0,49.2,17.1,1.1,4.9,5.8,1.7,0.7,6.5,Andre Iguodala,10-10,0.0,38.9
